,Cond,Minutes,Mean duration,16 min duration
0,0.977,0.6036040252749824,0.5948366444721316,0.7202859696157282
1,0.978,0.5771122164602955,0.5693375607516382,0.6876319331654523
2,0.979,0.6130050505050506,0.607135439461429,0.7072039657791636
3,0.98,0.6417864610284436,0.6354262692656327,0.7262264951222961
4,0.981,0.656166528506954,0.6508584661253303,0.7241848694968984
5,0.982,0.6687451535616189,0.6640925910976563,0.7272114244532462
6,0.983,0.6823503717035329,0.6809735229118239,0.7263181177894968
7,0.984,0.7245990926180119,0.7237243895614767,0.7517106549364614
8,0.985,0.7753152197596642,0.7752970576548401,0.781475243167782
9,0.986,0.6579686247752723,0.6607325187194373,0.6508520081754086
10,0.987,0.6087171546013961,0.6111783037976162,0.6009748015410228
11,0.988,0.5572225552621206,0.5584197896594929,0.5482103393104629
12,0.989,0.5019380080108826,0.5031879346379933,0.49466043583690644
13,0.99,0.44690168954678766,0.4476857463054327,0.4411143332235494
14,0.991,0.4195346608741528,0.42022199389227755,0.41574760077547435
15,0.992,0.3918085229458752,0.39214437231966737,0.389686713864972
16,0.993,0.2711747532098845,0.27140306324279306,0.26989202707981774
17,0.994,0.15133792510841704,0.1512198090655812,0.15080662259831512
